has_day;has_night;day_description;night_description;name;address;title;type;litraturer;night_character;day_year_built;night_book;night_year_wrote;day_architect;img_url;night_quote;y;x
;1;;В романе он упоминается неоднократно, поскольку мысли о благоустройства города волновали автора романа и его современников. Мимо него Раскольников проходит к старухе;Юсупов сад;Садовая улица, 50;;Ориентир;Достоевский Ф. М.;Родион Раскольников;;"""Преступление и наказание""";1866;;https://avatars.mds.yandex.net/get-vertis-journal/4465444/IMG_2442.JPG_1731050876307/orig;"""Занимали его в это мгновение даже какие-то посторонние мысли, только всё ненадолго. Проходя мимо Юсупова сада, он даже очень было занялся мыслию об устройстве высоких фонтанов и о том, как бы они хорошо освежали воздух на всех площадях. Мало-помалу он перешел к убеждению, что если бы распространить Летний сад на все Марсово поле и даже соединить с дворцовым Михайловским садом, то была бы прекрасная и полезнейшая для города вещь. Тут заинтересовало его вдруг: почему именно во всех больших городах человек не то что по одной необходимости, но как-то особенно наклонен жить и селиться именно в таких частях города, где нет ни садов, ни фонтанов, где грязь и вонь и всякая гадость. Тут ему вспомнились его собственные прогулки по Сенной, и он на минуту очнулся. «Что за вздор, – подумал он. – Нет, лучше совсем ничего не думать!»""";59.924072;30.311932
1;;Гранит;;Абрамов Ф. А.;Мичуринская ул., 1;«В этом доме в 1982–1983 годах жил и работал писатель Федор Александрович Абрамов»;Мемориальная табличка;Абрамов Ф. А.;;1992;;;Арх. Милорадович Т. Н.;https://encspb.ru/image/2805549274/1;;59.9534843;30.3323832
1;;Бронза;;Ахматова А. А.;г. Пушкин, Леонтьевская ул., 17, Детская музыкальная школа (Ф-148);«Здесь, в здании бывшей Мариинской гимназии, с 1900 по 1905 гг. училась Анна Андреевна Ахматова»;Мемориальная табличка;Ахматова А. А.;;1989;;;Архитектор Ф.А. Гепнер, скульптор Я.Я. Нейман.;https://encspb.ru/image/2805549470/1;;59.719511;30.403670
1;;Гранит, бронза;;Ахматова А. А.;сад Фонтанного дома, Литейный проспект, 53;«Музей Анны Ахматовой. “Фонтанный дом»;Мемориальная табличка;Ахматова А. А.;;1989;;;Архитектор В.А. Петров, скульптор А.М. Игнатьев.;https://encspb.ru/image/2805549495/1;;59.9362231;30.3467921
1;;;;Белинский В. Г.;Невский проспект, 68/40;«В этом доме в 1842–1846 гг. жил Виссарион Григорьевич Белинский»;Мемориальная табличка;Белинский В. Г.;;1948;;;Арх. Смирнов Н. И.;;;59.933775;30.3443673
1;;;;Беляев А. Р.;г. Пушкин, Конюшенная ул., 19;«В этом доме с 1938 года по 1942 год жил писатель-фантаст Александр Романович Беляев»;Мемориальная табличка;Беляев А. Р.;;1979;;;Арх. Милорадович Т. Н.;https://avatars.mds.yandex.net/get-altay/14664328/2a000001962ef7e40c0b1a5d62bbaab1a0f9/XXXL;;59.718456;30.412548
1;;;;Берггольц О. Ф.;Рубинштейна ул., 7 (Ф-151);«В этом доме с 1932 по 1943 год жила и работала поэт Ольга Федоровна Берггольц»;Мемориальная табличка;Берггольц О. Ф.;;1990;;;Арх. Васильев А. Н., скульптор Винниченко В. И.;https://encspb.ru/image/2805549638/1;;59.9309153;30.3448379
1;;;;Берггольц О. Ф.;Итальянская улица, 27;«...И спаяны сильней, чем кровью рода, родней, чем дети одного отца, сюда зимой 42 года сошлись сопротивляться до конца. ...И даже тем, кто все хотел бы сгладить в зеркальной робкой памяти людей, не дам забыть»;Мемориальная табличка;Берггольц О. Ф.;;1993;;;;https://encspb.ru/image/2805549666/1;;59.935683;30.338651
1;;;;Бианки В. В;В.О., 3-я линия, 58;«В этом доме жил писатель Виталий Бианки»;Мемориальная табличка;Бианки В. В;;1994;;;Арх. Милорадович Т. Н.;;;59.9478669;30.279624
1;;;;Блок А. А.;Петроградская набережная, 44.;«В этом доме с 1889 года по 1906 год жил поэт Александр Блок»;Мемориальная табличка;Блок А. А.;;1980;;;Арх. Милорадович Т. Н.;;;59.965275;30.3333581
1;;;;Блок А. А.;Университетская наб., 7. С.-Петербургский Государственный университет. Ректорский корпус. (Ф-154);«В этом доме 16 (28) ноября 1880 года родился Александр Блок»;Мемориальная табличка;Блок А. А.;;1974;;;Арх. Милорадович Т. Н.;https://encspb.ru/image/2805549733/1;;59.9400029;30.2996888
1;;;;Блок А. А.;Декабристов ул., 57. (Ф-153);«В этом доме жил с 6 августа 1912 г. и умер 7 августа 1921 г. Александр Блок»;Мемориальная табличка;Блок А. А.;;1946;;;Арх. Смирнов Н. И.;https://encspb.ru/image/2805549709/1;;59.9234832;30.2820381
1;;Гранит, бронза;;Бродский И. А.;Литейный проспект, 24. (Ф-155);«В этом доме с 1955 по 1972 год жил поэт Иосиф Александрович Бродский»;Мемориальная табличка;Бродский И. А.;;1996;;;Арх. Милорадович Т. Н., скульптор Лазарев Л. К.;https://encspb.ru/image/2805549853/1;;59.9426117;30.3488126
1;;;;Бунин И. А.;площадь Островского, 7 (Ф-157);«В этом здании 21-го ноября 1895 г. состоялось первое литературное выступление великого русского писателя Ивана Алексеевича Бунина. 1870–1953»;Мемориальная табличка;Бунин И. А.;;1996;;;Арх. Романовский Ф. К., скульптор Джибраев Ю. Г.;https://encspb.ru/image/2805549962/1;;59.931706;30.3349521
1;;Мрамор;;Вишневский В. В.;Профессора Попова ул., 10;«В этом доме с 1941 по 1944 год жил и работал писатель Всеволод Витальевич Вишневский»;Мемориальная табличка;Вишневский В. В.;;1952;;;;;;59.9709360;30.3124270
1;;Гранит, бронза;;Гарин-Михайловский Н. Г.;Московский проспект, 9. Университет путей сообщения;«Здесь учился писатель-демократ Гарин-Михайловский Николай Георгиевич, крупный инженер, строитель Транссибирской магистрали»;Мемориальная табличка;Гарин-Михайловский Н. Г.;;1984;;;Арх. Черепанов В. И., скульптор Петин В. П.;https://encspb.ru/image/2805550995/1;;59.9243647;30.3173695
1;;Гранит;;Гаршин В. М.;9-я Советская ул., 22/23;«В этом доме в 1883–1885 годах жил и работал русский писатель Всеволод Михайлович Гаршин»;Мемориальная табличка;Гаршин В. М.;;1990;;;Арх. Питаев В. Л.;;;59.9368031;30.3771934
1;;Гранит;;Герман Ю.П.;Марсово поле, 7;«В этом доме с 1948 по 1967 год жил выдающийся советский писатель Юрий Павлович Герман»;Мемориальная табличка;Герман Ю.П.;;1968;;;Арх. Милорадович Т. Н.;https://encspb.ru/image/2805551046/1;;59.9424278;30.3296386
1;;Мрамор;;Герцен А. И.;Большая Морская ул., 25;«В этом доме в квартире № 21 в 1840–41 гг. жил Александр Иванович Герцен»;Мемориальная табличка;Герцен А. И.;;1955;;;Арх. Егоров М. Ф.;;;59.9341523;30.3131205
1;;;;Гоголь Н. В.;Малая Морская ул., 17;«В этом доме с 1833 г. по 1836 г. жил Николай Васильевич Гоголь»;Мемориальная табличка;Гоголь Н. В.;;1963;;;Арх. Гепнер Ф. А., скульптор Эйдлин Л. Ю.;https://encspb.ru/image/2805551145/1;;59.9339863;30.3126633
1;;Мрамор;;Гоголь Н. В.;Университетская наб., 7, С.-Петербургский Государственный университет. Библиотека им. А.М. Горького;«1809–1852. Памяти Николая Васильевича Гоголя, Адъюнкт-профессора С.П.Б. Университета. 1834–1835 г. Совет Университета. 1909 г.»;Мемориальная табличка;Гоголь Н. В.;;1909;;;;https://encspb.ru/image/2805551126/1;;59.941222;30.299776
1;;;;Горький М.;Кронверкский проспект, 23 (Ф-169);«В этом доме жил с 1914 г. по 1921 г. Алексей Максимович Горький. Возобновлена в 1960 г.»;Мемориальная табличка;Горький М.;;1961;;;Арх. Егоров М. Ф.;https://encspb.ru/image/2805551266/1;;59.9568505;30.3184361
1;;Гранит, бронза;;Грибоедов А. С.;Большая Морская ул., 14.;«В этом доме в 1828 году жил Александр Сергеевич Грибоедов»;Мемориальная табличка;Грибоедов А. С.;;1961;;;Арх. Смирнов Н. И., скульптор Кирпичникова Т. С.;;;59.9358706;30.3174456
1;;Гранит;;Грин А. С;Декабристов ул., 11. (Ф-171);«В этом доме в 1921–22 годах жил и работал известный советский писатель Александр Грин»;Мемориальная табличка;Грин А. С;;1986;;;Арх. Бухаев В. Б.;https://encspb.ru/image/2805551305/1;;59.9285077;30.3042227
1;;Мрамор;;Гумилев Н. С.;г. Пушкин, Набережная ул., 12;«Здесь, в здании Николаевской царскосельской гимназии, с 1903 по 1906 год учился Николай Степанович Гумилев. 1886–1921»;Мемориальная табличка;Гумилев Н. С.;;1993;;;Арх. Егоров А. Ю.;;;59.715370;30.412547
1;;Мрамор;;Гумилев Н. С.;Радищева ул., 5.;«Здесь жил Николай Гумилев»;Мемориальная табличка;Гумилев Н. С.;;1991;;;Арх. Милорадович Т. Н.;;;59.93668154;30.36265717
1;;Мрамор;;Гумилев Н. С.;В.О., 5-я линия, 10.;«Здесь жил Николай Гумилев»;Мемориальная табличка;Гумилев Н. С.;;1988;;;;https://encspb.ru/image/2805553966/1;;59.9388779;30.2866654
1;;Мрамор;;Данилевский Г. П.;Невский проспект, 71/1;«В этом доме жил 26 лет и скончался 4 декабря 1890 г. писатель-романист Григорий Петрович Данилевский»;Мемориальная табличка;Данилевский Г. П.;;1911;;;;https://encspb.ru/image/2805551382/1;;59.931589;30.355215
1;;Гранит;;Дельвиг А.А.;Загородный проспект, 1.;«В этом доме с 1829 по 1831 год жил и работал известный русский поэт Антон Антонович Дельвиг»;Мемориальная табличка;Дельвиг А.А.;;1984;;;Арх. Бухаев В. Б.;https://encspb.ru/image/2805551439/1;;59.927887;30.3464028
1;;Гранит;;Дидро Д.;Исаакиевская пл, 36;«В этом доме с 8 октября 1773 по 5 марта 1774 жил великий французский просветитель Дени Дидро»;Мемориальная табличка;Дидро Д.;;1991;;;Арх. Васильковский В.С.;https://encspb.ru/image/2805551553/1;;59.9330516;30.3060045
1;;Мрамор;;Добролюбов Н. А.;Литейный проспект, 36 (Ф-177);«В этом доме с конца августа 1858 года до июня 1859 года жил великий русский революционный демократ Николай Александрович Добролюбов»;Мемориальная табличка;Добролюбов Н. А.;;1955;;;;;;59.9395379;30.3486641
1;;;;Довлатов С. Д.;Ул. Рубинштейна, 23;"""В этом доме с 1944 по 1975 г жил писатель Сергей Довлатов""";Мемориальная табличка;Довлатов С. Д.;;;;;;;;59.9278061;30.342885
1;;;;Достоевский Ф. М.;Кузнечный пер., 5 (Ф-178);«В этом доме в 1846 г. и с 1878 г. по день смерти 9 февраля 1881 г. жил Федор Михайлович Достоевский. Здесь им был написан роман “Братья Карамазовы»;Мемориальная табличка;Достоевский Ф. М.;;1956;;;Арх. Егоров М. Ф., скульптор Соколов Н. А.;https://encspb.ru/image/2805551604/1;;59.9273773;30.350833
1;;;;Достоевский Ф. М.;Графский пер., 10 (угол Владимирского проспект);«В этом доме с 1842 г. по 1845 г. жил Федор Михайлович Достоевский. Здесь им был написан роман “Бедные люди»;Мемориальная табличка;Достоевский Ф. М.;;1971;;;Арх. Егоров М. Ф.;;;59.930293;30.347203
1;;;;Достоевский Ф. М.;Егорова ул., 8. Архитектурно-строительный университет.;«На этом месте стоял доходный дом, в котором с марта 1860 года по сентябрь 1861 года жил великий русский писатель Ф.М. Достоевский и работал над “Записками из мертвого дома” и романом “Униженные и оскорбленные»;Мемориальная табличка;Достоевский Ф. М.;;1995;;;Арх. Емельянов В. И;;;59.914787;30.314232
1;;;;Достоевский Ф. М.;Казначейская ул., 7;«В этом доме в 1864–1867 годах жил Федор Михайлович Достоевский. Здесь написан роман “Преступление и наказание»;Мемориальная табличка;Достоевский Ф. М.;;1998;;;Арх. Михайлов С.Л., художник Соколов Н. Н.;https://encspb.ru/image/2805551660/1;;59.9268817;30.3126499
1;;Гранит;;Есенин С. А.;Литейный проспект, 33 (Ф-183);«В этом доме в 1917–1918 годах жил поэт Сергей Есенин»;Мемориальная табличка;Есенин С. А.;;1971;;;Арх. Милорадович Т. Н., скульптор Кузнецов О. И.;https://encspb.ru/image/2805551733/1;;59.940998;30.348152
1;;Мрамор;;Есенин С. А.;Малая Морская ул., 24–26 (Ф-184);«В бывшей гостинице “Англетер” 28 декабря 1925 года трагически оборвалась жизнь поэта Сергея Есенина»;Мемориальная табличка;Есенин С. А.;;1994;;;Арх. Петров В.А.;https://encspb.ru/image/2805551804/1;;59.9340034;30.3088079
1;;;;Зощенко М. М.;Грибоедова канала наб., 9.;«В этом доме в 1934–1958 годах жил и работал писатель Михаил Михайлович Зощенко»;Мемориальная табличка;Зощенко М. М.;;1994;;;Арх. Милорадович Т. Н., Соколов Н. А., скульптор Горевой В. Э.;https://encspb.ru/image/2805551844/1;;59.9378374;30.3269623
1;;Гранит, бронза;;Зощенко М. М.;г. Сестрорецк, Токарева ул., 7. Центральная библиотека.;«Сестрорецкая районная библиотека носит имя М. Зощенко»;Мемориальная табличка;Зощенко М. М.;;1997;;;Скульптор Онешко В.Ф.;;;60.088506;29.956244
1;;Гранит;;Иванов В. И.;Таврическая ул., 35;«В этом доме, на “башне” Вячеслава Иванова, в 1905–1912 годах собирались деятели русской культуры, поэты, философы, художники.»;Мемориальная табличка;Иванов В. И.;;1994;;;дар города Невесель (Франция);;;59.9467560;30.3784394
1;;;;Карамзин Н. М.;;"""В этом доме в 1816-1821 г.г. жил Николай Михайлович Карамзин, известный русский писатель и историк, здесь бывали лицеист Пушкин, П. Я. Чаадаев, В. А. Жуковский, А. И. Тургенев, П. А. Вяземский""";Мемориальная табличка;Карамзин Н. М.;;;;;;;;59.7166;30.3994116
1;;;;Крылов И. А.;площадь Островского, 1;«В этом здании с 1812 г. по 1841 г. работал библиотекарем великий русский баснописец Иван Андреевич Крылов»;Мемориальная табличка;Крылов И. А.;;1956;;;Арх. Егоров М. Ф., скульптор Соколов Н. А.;https://encspb.ru/image/2805552721/1;;59.9335192;30.335926
1;;;;Крылов И. А.;В.О., 1-я линия, 8;«В этом доме с 1841 г. жил в 1844 г. умер великий русский баснописец Иван Андреевич Крылов»;Мемориальная табличка;Крылов И. А.;;1955;;;Арх. Егоров М. Ф.;https://p3.citywalls.ru/photo_394-404371.jpg?mt=1563360404;;59.9400335;30.2920701
1;;Мрамор;;Купала Я.;В.О., 4-я линия, 45;«В этом доме с 1909–1913 гг. жил народный поэт Белоруссии Янка Купала (Иван Доминикович Луцевич)»;Мемориальная табличка;Купала Я.;;1955;;;;https://encspb.ru/image/2805552756/1;;59.9460587;30.2788893
1;;Гранит;;Куприн А. И.;Разъезжая ул., 7 (не разъездная);«В этом доме в 1906–1908 годах жил и работал писатель Александр Иванович Куприн»;Мемориальная табличка;Куприн А. И.;;1992;;;Арх. Милорадович Т. Н.;https://encspb.ru/image/2805552774/1;;59.9253687;30.3439886
1;;;;Лермонтов М. Ю.;г. Пушкин, Кадетский бульвар, 1;«Здесь, в лейб-гвардии гусарском полку, с 1834 по 1837 гг. и с 1838 по 1840 гг. служил великий русский поэт Михаил Юрьевич Лермонтов»;Мемориальная табличка;Лермонтов М. Ю.;;1962;;;Арх. Егоров М. Ф., скульптор Дыдыкин Н. В.;;;59.709065;30.397776
1;;;;Лермонтов М. Ю.;Садовая ул., 61. (Ф-205);«В этом доме жил Михаил Юрьевич Лермонтов в 1836–1837 гг. Здесь им написано стихотворение “Смерть поэта»;Мемориальная табличка;Лермонтов М. Ю.;;2006;;;Арх. Егоров М. Ф., скульптор Дыдыкин Н. В.;https://encspb.ru/image/2805552927/1;;59.9224413;30.3065423
1;;;;Лесков Н. С.;Фурштатская ул., 50;«В этом доме с 1889 по 1895 год жил и работал выдающийся русский писатель Николай Семенович Лесков»;Мемориальная табличка;Лесков Н. С.;;1981;;;Арх. Питаев В. Л.;https://encspb.ru/image/2805552956/1;;59.9452776;30.3640204
1;;;;Лозинский М. Л.;Каменноостровский проспект, 73–75 (Ф-210);«В этом доме с 1915 г. по 1955 г. жил выдающийся поэт-переводчик, лауреат Государственной премии Михаил Леонидович Лозинский»;Мемориальная табличка;Лозинский М. Л.;;1963;;;Скульптор Робачевский Р. И.;https://encspb.ru/image/2805553037/1;;59.975271;30.303621
1;;;;Маршак С. Я.;Литейный проспект, 21;"""В этом доме с 1927 по 1938 год жил и работал выдающийся советский писатель Самуил Яковлевич Маршак""";Мемориальная табличка;Маршак С. Я.;;;;;;;;59.9429349;30.3482038
1;;;;Мицкевич А.;Казанская ул., 39;«В этом доме жил великий польский поэт Адам Мицкевич с апреля 1828 г. по 15 (27) мая 1829 г.»;Мемориальная табличка;Мицкевич А.;;1955;;;Арх. Егоров М.Ф.;;;59.928731;30.3101886
1;;;;Набоков В. В.;Большая Морская ул., 47;«В этом доме родился писатель Владимир Владимирович Набоков. 1899–1977»;Мемориальная табличка;Набоков В. В.;;1992;;;Арх. Михайлов С. Л.;https://encspb.ru/image/2805553377/1;;59.9318236;30.3049746
1;;Мрамор;;Некрасов Н. А.;Литейный проспект, 36;«Николай Алексеевич Некрасов жил 20 лет в этом доме и скончался 27-го декабря 1877 года»;Мемориальная табличка;Некрасов Н. А.;;1950;;;Арх. Хусид Р. Е.;;;59.9395992;30.3486695
1;;;;Никитин Н. Н.;Моховая ул., 28;«В этом доме с 1927 по 1963 гг. жил и работал писатель Николай Николаевич Никитин»;Мемориальная табличка;Никитин Н. Н.;;1970;;;Арх. Гепнер Ф. А.;https://encspb.ru/image/2805545204/1;;59.9415791;30.3454259
1;;Бронза;;Орлов С. С.;Малая Посадская ул., 8 (Ф-222);«В этом доме с 1956 по 1971 год жил и работал поэт Сергей Сергеевич Орлов»;Мемориальная табличка;Орлов С. С.;;1985;;;Арх. Бухаев В. Б., скульптор Аникушин М. К.;https://encspb.ru/image/2805553463/1;;59.9579198;30.3212474
1;;;;Панова В. Ф.;Марсово поле, 7;«Здесь с 1948 года по 1970 год жила и работала писательница Вера Федоровна Панова»;Мемориальная табличка;Панова В. Ф.;;1986;;;Арх. Милорадович Т. Н.;https://encspb.ru/image/2805553485/1;;59.9424747;30.3296018
1;;Гранит, мрамор, бронза;;Пикулю В. С.;4-я Красноармейская ул., 16. (Ф-227);«В этом доме с 1947 по 1961 год жил известный писатель Валентин Саввич Пикуль»;Мемориальная табличка;Пикулю В. С.;;1996;;;Арх. Романовский Ф. К., скульптор Джибраев Ю. Г.;https://encspb.ru/image/2805553587/1;;59.913753;30.3125057
1;;Мрамор;;Писемский А. Ф.;Садовая ул., 51.;«В этом доме с 1858 г. по 1863 г. жил Алексей Феофилактович Писемский. Здесь он написал драму “Горькая судьбина»;Мемориальная табличка;Писемский А. Ф.;;1956;;;Арх. Болотский Н. С.;;;59.923879;30.3105813
1;;;;Прокофьев А. А.;Кронверкская ул., 29/37;«В этом доме с 1957 по 1971 год жил и работал выдающийся советский поэт, лауреат Ленинской и Государственной премий, Герой Социалистического Труда Александр Андреевич Прокофьев»;Мемориальная табличка;Прокофьев А. А.;;1972;;;Арх. Гепнер Ф. А., скульптор Аникушин М. К.;https://encspb.ru/image/2805553653/1;;59.9621791;30.3099301
1;;;;Пушкин А. С.;г. Пушкин, Пушкинская ул., 2;"«На этой улице до 1949 года называвшейся Колпинской, в доме вдовы придворного камердинера Анны Китаевой в 1831 году снимал дачу Александр Сергеевич Пушкин. В Царское село он приехал с женой Натальей Николаевной вскоре после свадьбы и прожил в нём с 25 мая до середины октября. Здесь прошли самые счастливые месяцы семейной жизни поэта.

В Царском селе Пушкин много и плодотворно работал. Летом-осенью 1831 года он написал «Письмо Онегина к Татьяне», стихотворения «Эхо», «Чем чаще празднует лицей...», подготовил к печати написанные в Болдино «Повести Белкина».

С 1958 года в здании открыт мемориально-литературный музей «Дом-дача Китаевой» - филиал Всероссийского музея Пушкина.»";Мемориальная табличка;Пушкин А. С.;;1949;;;;;;59.723938;30.40005
1;;;;Пушкин А. С.;г. Пушкин, Садовая ул., 1. Лицей (Ф-231);«В сем здании с 1811 по 1843 год находился Императорский Лицей»;Мемориальная табличка;Пушкин А. С.;;1899;;;;https://encspb.ru/image/2805553727/1;;59.717573;30.396598
1;;;;Пушкин А. С.;Кутузова наб., 32;«Здесь с 1834 года по 1836 год жил Александр Сергеевич Пушкин»;Мемориальная табличка;Пушкин А. С.;;1970;;;Арх. Милорадович Т. Н.;https://encspb.ru/image/2805553799/1;;59.9482796;30.3388149
1;;;;Пушкин А. С.;Конюшенная площадь, 1А;«В этом храме 1 февраля 1837 года по Высочайшему повелению Государя Императора Николая Павловича было совершено отпевание Александра Сергеевича Пушкина»;Мемориальная табличка;Пушкин А. С.;;;;;;;;59.9413262;30.3263144
1;;;;Пушкин А. С.;Набережная реки Мойки, 12.;«В этом доме 29 января 1837 года скончался Александр Сергеевич Пушкин»;Мемориальная табличка;Пушкин А. С.;;1880;;;Арх. Бенуа Н. Л., мастер И. М. Руфиони.;;;59.9412759;30.3211261
1;;;;Пушкин А. С.;Театральная пл., 8.;«В этом доме бывал в 1819–1820 гг. А.С. Пушкин на собраниях литературно-политического кружка “Зеленая лампа»;Мемориальная табличка;Пушкин А. С.;;1937;;;Арх. Санлер Е. Н., Волков П. А.;https://encspb.ru/image/2805553761/1;;59.9254379;30.3000341
1;;Мрамор;;Пушкин А. С.;Галерная ул., 53.;«В этом доме жил Александр Сергеевич Пушкин в 1831–1832 г.»;Мемориальная табличка;Пушкин А. С.;;1935;;;;https://encspb.ru/image/2805553799/1;;59.9317172;30.2886504
1;;;;Пушкин А. С.;Фонтанки реки наб., 185.;«В этом доме по окончании Лицея жил А.С. Пушкин с 1817 г. по 1820 г.»;Мемориальная табличка;Пушкин А. С.;;1937;;;;;;59.9165434;30.2874113
1;;;;Радищев А. Н.;г. Пушкин, Радищева ул., 2.;«Александр Николаевич Радищев (1749–1802), русский писатель-революционер, автор книги “Путешествие из Петербурга в Москву»;Мемориальная табличка;Радищев А. Н.;;1984;;;;;;59.710958;30.406994
1;;Мрамор;;Радищев А. Н.;Марата ул., 14. (Ф-234);«В этом доме с 1775 г. по 1790 г. жил выдающийся революционер Александр Николаевич Радищев. Здесь он напечатал в собственной типографии книгу “Путешествие из Петербурга в Москву»;Мемориальная табличка;Радищев А. Н.;;1949;;;Арх. Варакин И. И.;https://encspb.ru/image/2805553853/1;;59.929321;30.354395
1;;;;Рахманов Л. Н.;Марсово поле, 7.;«В этом доме с 1950 по 1988 год жил писатель Леонид Николаевич Рахманов»;Мемориальная табличка;Рахманов Л. Н.;;1998;;;Арх. Васильковский В. С.;;;59.9420992;30.3298916
1;;;;Рождественский В. А.;Грибоедова канала наб., 9;«В этом доме в 1949–1977 годах жил и работал Всеволод Александрович Рождественский»;Мемориальная табличка;Рождественский В. А.;;1992;;;Арх. Милорадович Т. Н.;;;59.93852;30.3272526
1;;Гранит;;Рылеев К. Ф.;Набережная реки Мойки, 72. (Ф-18);«В этом доме в 1824–1825 годах жил декабрист Кондратий Федорович Рылеев»;Мемориальная табличка;Рылеев К. Ф.;;1975;;;Арх. Исаева В.В.;https://encspb.ru/image/2805525947/1;;59.930927;30.3071143
1;;;;Салтыков-Щедрин М. Е.;Литейный проспект, 60;«В этом доме с 1876 г. жил и в 1889 г. умер Михаил Евграфович Салтыков-Щедрин»;Мемориальная табличка;Салтыков-Щедрин М. Е.;;1955;;;Арх. Егоров М. Ф.;;;59.9337561;30.3482594
1;;;;Саянов В.М.;Чебоксарский пер., 2/9;«В этом доме с 1934 по 1959 г. жил писатель Виссарион Михайлович Саянов»;Мемориальная табличка;Саянов В.М.;;1960;;;Арх. Васильковский В.С.;;;59.9378258;30.32601
1;;Гранит;;Соболев Л. С.;Шпалерная ул., 30;«В этом доме с 1924 по 1971 год жил и работал писатель Леонид Сергеевич Соболев»;Мемориальная табличка;Соболев Л. С.;;1976;;;Арх. Васильковский В. С., Милорадович Т. Н.;;;59.9491509;30.3539878
1;;Мрамор;;Стасов В. В.;Моховая ул., 26.;«В этом доме с 1854 по 1873 г. жил и работал выдающийся русский художественный критик Владимир Васильевич Стасов»;Мемориальная табличка;Стасов В. В.;;1955;;;;https://encspb.ru/image/2805552866/1;;59.9420355;30.3454627
1;;Мрамор;;Стасов В. В.;площадь Островского, 1, Российская национальная библиотека (Ф-250).;«Здесь с 1855 г. по 1906 г. работал выдающийся деятель русской культуры Владимир Васильевич Стасов»;Мемориальная табличка;Стасов В. В.;;1957;;;Арх. Егоров М.Ф., скульптор Клюге Ю. Г.;https://encspb.ru/image/2805554955/1;;59.9334567;30.3358941
1;;;;Сумароков А. П.;В.О., 9-я линия, 14. (Ф-252);«На этом месте находился дом, в котором в 1765–1769 годах жил писатель, поэт, театральный деятель России Александр Петрович Сумароков»;Мемориальная табличка;Сумароков А. П.;;1992;;;Архитектор Петров В.А., скульптор Кубанова Н. В.;https://encspb.ru/image/2805555089/1;;59.9387631;30.2799941
1;;Гранит;;Тихонов Н. С.;Зверинская ул., 2/5. (Ф-254);«Здесь с 1922 по 1944 год жил и работал Герой Социалистического Труда, писатель и общественный деятель Николай Семенович Тихонов»;Мемориальная табличка;Тихонов Н. С.;;1981;;;Арх. Милорадович Т. Н.;https://encspb.ru/image/2805555159/1;;59.9535082;30.2927069
1;;;;Толстой А. Н.;г. Пушкин, Алексея Толстого бульвар, 6/66.;«Алексей Николаевич Толстой (1883–1945), русский советский писатель, жил в городе Пушкине в 1928–1938 годах»;Мемориальная табличка;Толстой А. Н.;;;;;;;;59.729894;30.421111
1;;;;Толстой А. Н.;Ждановская наб., 3.;«В этом доме с 1923 по 1928 год жил и работал писатель Алексей Николаевич Толстой»;Мемориальная табличка;Толстой А. Н.;;1983;;;Арх. Милорадович Т. Н.;https://encspb.ru/image/2805555266/1;;59.9529199;30.2894664
1;;;;Толстой Л.Н.;Фонтанки реки наб., 38.;«В этом доме с 19 ноября 1855 года по 1 января 1856 года жил великий русский писатель Лев Николаевич Толстой»;Мемориальная табличка;Толстой Л.Н.;;1960;;;Арх. Егоров М.Ф., скульпторы: Татарович В. И., Ястребенецкий Г. Д.;;;59.9341699;30.3445255
1;;;;Тургенев И. С.;Большая Конюшенная ул., 13;«В этом доме с 1858 г. по 1860 г. жил великий русский писатель Иван Сергеевич Тургенев»;Мемориальная табличка;Тургенев И. С.;;1969;;;Арх. Попов В.Д.;;;59.9394952;30.3235812
1;;;;Тютчев Ф. И.;г. Пушкин, Малая Улица, 10;"""На этом месте находился дом в котором 15 июля 1873 года скончался поэт Фёдор Иванович Тютчев""";Мемориальная табличка;Тютчев Ф. И.;;;;;;;;59.7207018;30.3977536
1;;Мрамор;;Тютчев Ф. И.;Невский проспект, 42;«В этом доме жил и работал выдающийся русский поэт Федор Иванович Тютчев»;Мемориальная табличка;Тютчев Ф. И.;;1983;;;Арх. Кривов А. С.;https://encspb.ru/image/2805552976/1;;59.9348209;30.3323793
1;;;;Унтола А.;Лесной проспект, 9;«В этом доме в 1902–1904 годах жил выдающийся финский писатель Майю Лассила (Алгот Унтола).»;Мемориальная табличка;Унтола А.;;1991;;;Арх. Васильковский В. С.;;;59.9633823;30.3518667
1;;;;Федин К. А.;Литейный проспект, 33.;«В этом доме с 1922 по 1937 год жил и работал Герой Социалистического Труда, писатель Константин Александрович Федин»;Мемориальная табличка;Федин К. А.;;1981;;;Арх. Милорадович Т. Н., скульптор Додонова Г. В.;https://encspb.ru/image/2805555513/1;;59.9411393;30.3481724
1;;;;Форш О. Д.;Куйбышева ул., 3 (Ф-265);«В этом доме с 1954 года по 1961 год жила писательница Ольга Дмитриевна Форш»;Мемориальная табличка;Форш О. Д.;;1977;;;Арх. Милорадович Т. Н., Васильковский В. С.;https://encspb.ru/image/2805555650/1;;59.9540277;30.3281654
1;;;;Хетагуров К. Л.;Набережная реки Моики, 17/18;«В этом доме жил основоположник осетинского литературного языка, выдающийся поэт и художник, революционный демократ Коста Леванович Хетагуров»;Мемориальная табличка;Хетагуров К. Л.;;1967;;;Арх. Попов В. Д.;;;59.9422905;30.323166
